Date,Open,High,Low,Close
2023-08-31,335.380005,336.059998,333.390015,334.75
2023-08-30,337.109985,337.690002,334.940002,334.940002
2023-08-29,333.570007,334.459991,332.700012,333.76001
2023-08-28,330.25,332.670013,330.25,332.529999
2023-08-25,329.309998,331.399994,328.660004,330.25
2023-08-24,333.140015,334.040009,332.140015,333.820007
2023-08-23,328.950012,330.220001,327.869995,329.149994
2023-08-22,331.649994,332.529999,328.690002,329.700012
2023-08-21,329.450012,331.089996,328.299988,328.839996
2023-08-18,326.899994,330.649994,326.23999,328.420013
2023-08-17,329.630005,330.429993,325.73999,330.230011
2023-08-16,333.690002,334.170013,330.540009,331.279999
2023-08-14,338.579987,339.519989,335.279999,336.329987
2023-08-11,341.880005,343.029999,338.799988,338.980011
2023-08-10,339.690002,340.459991,339.089996,340.459991
2023-08-09,339,342.380005,338.450012,341.609985
2023-08-08,342.119995,342.619995,337.25,337.950012
2023-08-07,339.600006,343.179993,339.459991,339.679993
2023-08-04,341.600006,342.720001,340.619995,341.25
2023-08-03,344.799988,345.049988,340.100006,341.540009
2023-08-02,349.100006,349.73999,343.25,343.799988
2023-08-01,347.350006,351.230011,346.559998,351
2023-07-31,346.5,347.179993,344.720001,345.619995
2023-07-28,343.549988,344.339996,341.309998,344.029999
2023-07-27,341.640015,345.5,340.579987,344.76001
2023-07-26,345.179993,345.420013,339.529999,340.559998
2023-07-25,345.779999,346.269989,342.929993,344.920013
2023-07-24,341.980011,345.869995,340.670013,344.320007
2023-07-21,339.190002,342.390015,337.450012,342.390015
2023-07-20,341.369995,343.290009,340.619995,341.670013
2023-07-19,345.609985,345.690002,341.779999,343.109985
2023-07-18,346.48999,346.980011,342.899994,343.380005
2023-07-17,345.380005,346.980011,344.73999,345.75
2023-07-14,343.48999,346.929993,342.899994,346.929993
2023-07-13,341.600006,343.01001,341.100006,341.130005
2023-07-12,336.820007,339.459991,336.149994,339.459991
2023-07-11,333.470001,337.019989,332.910004,337.019989
2023-07-10,331.820007,333.600006,330.390015,330.839996
2023-07-07,334.790009,334.790009,330.329987,331.570007
2023-07-06,338.190002,338.880005,335.549988,336.200012
2023-07-05,341.470001,342.820007,338.929993,339.040009
2023-07-04,343.540009,343.880005,341.420013,341.589996
2023-07-03,340.26001,343.5,340.070007,343.079987
2023-06-30,337.559998,338.980011,335.040009,337.950012
2023-06-29,338.459991,340.339996,336.390015,336.390015
2023-06-28,341.380005,341.600006,337.600006,338.410004
2023-06-27,340.420013,340.450012,338.649994,340.320007
2023-06-26,338.380005,340.779999,337.619995,340.380005
2023-06-23,341.950012,342.209991,338.209991,338.450012
2023-06-22,338.519989,341.559998,338.459991,341.119995
2023-06-21,341.480011,342.029999,338.980011,339.440002
2023-06-20,341.980011,343.019989,341.149994,342.579987
2023-06-19,344.359985,344.549988,341.980011,343.130005
2023-06-16,345.089996,345.350006,343.130005,345.170013
2023-06-15,345.929993,346.579987,342.720001,343.190002
2023-06-14,346.48999,346.880005,343.690002,344.649994
2023-06-13,346.920013,347.459991,345.380005,346.390015
2023-06-12,347.540009,348.179993,343.700012,344.570007
2023-06-09,344.279999,347.420013,343.339996,346.790009
2023-06-08,342.160004,342.75,340.480011,342.75
2023-06-07,344.76001,345.630005,343.029999,343.220001
2023-06-05,344.890015,344.950012,343.040009,343.910004
2023-06-02,340.570007,342.679993,340.119995,342.670013
2023-06-01,338.359985,339.609985,337.290009,338.079987
2023-05-31,341.549988,342.51001,339.040009,339.119995
2023-05-30,340.529999,341.73999,339.730011,341.5
2023-05-26,336.869995,338.059998,335.890015,337.109985
